id,blok,temat,zdanie,zrodlo,wydanie,pewnosc,zgadzam_sie,poprawka
"hiv-0228","dlugoterminowo","co się monitoruje przez lata","W stabilnym leczeniu regularnie kontroluje się wiremię i CD4, a z czasem także ciśnienie, lipidy, poziom cukru oraz pracę nerek i wątroby — bo z wiekiem rośnie ryzyko chorób niezwiązanych z AIDS.","European AIDS Clinical Society","13.0 (2025)","OFFICIAL","",""
"hiv-0229","dlugoterminowo","główne ryzyko długoterminowe","U osób długo żyjących z HIV głównym ryzykiem stają się choroby serca, nerek, kości, wątroby oraz nowotwory niezwiązane z AIDS. Dlatego niepalenie, ruch i leczenie chorób współistniejących mają realne znaczenie.","Polskie Towarzystwo Naukowe AIDS","2025","OFFICIAL","",""
"hiv-0230","dlugoterminowo","opieka to nie tylko tabletka","Opieka długoterminowa obejmuje plan szczepień, profilaktykę i badania przesiewowe dostosowane do wieku i odporności. Część szczepień uzupełnia się lub powtarza po odbudowie liczby CD4.","European AIDS Clinical Society","13.0 (2025)","OFFICIAL","",""
"hiv-0040","wspolistniejace","starzenie się","Osoby żyjące z HIV częściej i wcześniej doświadczają chorób serca, nerek, kości i zaburzeń metabolicznych.","Polskie Towarzystwo Naukowe AIDS","2025","OFFICIAL","",""
"hiv-0041","wspolistniejace","koinfekcje","Częste koinfekcje to WZW C, WZW B, gruźlica i kiła. Warto się w ich kierunku badać.","Polskie Towarzystwo Naukowe AIDS","2025","OFFICIAL","",""
"hiv-0042","wspolistniejace","zdrowie psychiczne","Zdrowie psychiczne jest częścią opieki nad HIV. Depresja i lęk zdarzają się częściej i można je leczyć.","Polskie Towarzystwo Naukowe AIDS","2025","OFFICIAL","",""
"hiv-0043","wspolistniejace","szczepienia","Osobom żyjącym z HIV zaleca się szereg szczepień, między innymi przeciw WZW A i B, pneumokokom, grypie, COVID-19 i HPV.","Polskie Towarzystwo Naukowe AIDS","2025","OFFICIAL","",""
"hiv-0044","wspolistniejace","profilaktyka oportunistyczna","Przy niskiej liczbie CD4 stosuje się leki zapobiegające zakażeniom oportunistycznym.","Polskie Towarzystwo Naukowe AIDS","2025","OFFICIAL","",""
"hiv-0101","stygma","język","Zamiast „nosiciel"" czy „zarażony"" mów „osoba żyjąca z HIV"" albo „osoba seropozytywna"".","Fundacja Edukacji Społecznej","2025","VERIFIED","",""
"hiv-0102","stygma","język","Słowo „nosiciel"" jest stygmatyzujące i medycznie niepoprawne.","naTemat.pl","2025","COMMUNITY","",""
"hiv-0103","stygma","język","Nie mów „ofiara AIDS"" ani „grupy ryzyka"". Mów o ryzykownych zachowaniach, nie o grupach ludzi.","Stowarzyszenie „Jeden Świat""","2025","VERIFIED","",""
"hiv-0104","stygma","granice rozmowy","Nie wypytuj osoby żyjącej z HIV o to, jak się zakaziła.","Fundacja Edukacji Społecznej","2025","VERIFIED","",""
"hiv-0105","stygma","skutki","Stygmatyzacja związana z HIV pogarsza zdrowie psychiczne i zniechęca do testowania.","Mijas M. i in., Seksuologia Polska 2017","2017","VERIFIED","",""
"hiv-0045","wyleczenie","stan badań","Nie ma jeszcze leku, który całkowicie usuwa HIV z organizmu.","amfAR","2024","VERIFIED","",""
"hiv-0046","wyleczenie","przypadki remisji","Dotąd siedem osób uznano za wyleczone lub będące w długiej remisji. Wszystkie po przeszczepie komórek krwiotwórczych z powodu nowotworu.","International AIDS Society","2024","VERIFIED","",""
"hiv-0047","wyleczenie","dlaczego nie dla wszystkich","Przeszczep szpiku jest zbyt ryzykowny, żeby był metodą leczenia HIV. Służy nauce jako dowód, że wyleczenie w ogóle jest możliwe.","amfAR","2024","VERIFIED","",""
"hiv-0048","wyleczenie","drugi pacjent berliński","„Drugi pacjent berliński"" z 2024 roku to pierwszy przypadek remisji od dawcy z pojedynczą, a nie podwójną mutacją CCR5-delta32.","International AIDS Society","2024","VERIFIED","",""
"hiv-0049","wyleczenie","co jest w badaniach","Terapie genowe, przeciwciała szeroko neutralizujące i terapie CAR-T są w fazie badań, a nie w praktyce klinicznej.","NAM Publications","2025","VERIFIED","",""
"hiv-0050","wyleczenie","szczepionka","Skutecznej szczepionki przeciw HIV na razie nie ma.","amfAR","2024","VERIFIED","",""
"hiv-0106","epidemiologia","Polska 2024","W 2024 roku w Polsce zgłoszono 2257 nowo wykrytych zakażeń HIV, 185 zachorowań na AIDS i 20 zgonów z powodu AIDS.","NIZP-PZH","2024","OFFICIAL","",""
"hiv-0107","epidemiologia","Polska od 1985","Od 1985 roku do 31 grudnia 2024 roku w Polsce wykryto 35 175 zakażeń HIV. Odnotowano też 4 377 zachorowań na AIDS, a 1 518 osób zmarło.","NIZP-PZH","2024","OFFICIAL","",""
"hiv-0108","epidemiologia","późne rozpoznania","W Polsce utrzymuje się problem późnych rozpoznań. Wiele osób dowiaduje się o zakażeniu w zaawansowanym stadium.","Polskie Towarzystwo Naukowe AIDS","2025","OFFICIAL","",""
"hiv-0109","epidemiologia","transmisja","Osoby nieświadome swojego zakażenia odpowiadają za największą część nowych transmisji.","Polskie Towarzystwo Naukowe AIDS","2025","OFFICIAL","",""
"arv-0001","miejsca","PORADNIA_ARV","Wojewódzki Szpital Zakaźny — Poradnia Profilaktyczno-Lecznicza— ul. Wolska 37, 01-201 Warszawa tel. 22 335 81 01, 22 335 81 02 (pn, czw 9:00–16:00; wt, śr, pt 7:30–15:00)","Krajowe Centrum ds. AIDS / gov.pl","aktualizacja 2025-02-23","OFFICIAL","",""
"arv-0002","miejsca","PORADNIA_ARV","Klinika Chorób Zakaźnych Wieku Dziecięcego— ul. Wolska 37, 01-201 Warszawa tel. 22 335 52 50, 22 335 52 58 (całodobowo)","Krajowe Centrum ds. AIDS / gov.pl","aktualizacja 2025-02-23","OFFICIAL","",""
"arv-0003","miejsca","PORADNIA_ARV","Punkt Konsultacyjny dla Dorosłych Zakażonych HIV— ul. Żurawia 14, 15-540 Białystok tel. 85 831 64 46, 85 831 64 39 (pn–pt 8:00–18:00)","Krajowe Centrum ds. AIDS / gov.pl","aktualizacja 2025-02-23","OFFICIAL","",""
"arv-0004","miejsca","PORADNIA_ARV","Wojewódzka Przychodnia Chorób Zakaźnych— ul. Kurpińskiego 5a, 85-096 Bydgoszcz tel. 52 304 56 40 (wt 7:00–18:00; pn, śr, czw, pt 7:00–15:00)","Krajowe Centrum ds. AIDS / gov.pl","aktualizacja 2025-02-23","OFFICIAL","",""
"arv-0005","miejsca","PORADNIA_ARV","Poradnia Diagnostyki i Leczenia Nabytych Niedoborów Odporności— ul. Zjednoczenia 10, 41-500 Chorzów tel. 32 346 36 19, 32 346 36 20 (pn, czw, pt 8:00–15:35; wt, śr 8:00–18:00)","Krajowe Centrum ds. AIDS / gov.pl","aktualizacja 2025-02-23","OFFICIAL","",""
"arv-0006","miejsca","PORADNIA_ARV","Poradnia Leczenia Nabytych Niedoborów Odporności — Centrum Medyczne Smoluchowskiego— ul. Smoluchowskiego 18, 80-214 Gdańsk tel. 58 341 40 41 wew. 330 (pn–pt 7:00–14:00)","Krajowe Centrum ds. AIDS / gov.pl","aktualizacja 2025-02-23","OFFICIAL","",""
"arv-0007","miejsca","PORADNIA_ARV","Poradnia Chorób Zakaźnych dla Dzieci — Szpital św. Wojciecha— al. Jana Pawła II 50, 80-462 Gdańsk tel. 58 772 39 50 (wt 8:30–11:00; rejestracja pn–pt 7:00–18:00)","Krajowe Centrum ds. AIDS / gov.pl","aktualizacja 2025-02-23","OFFICIAL","",""
"arv-0008","miejsca","PORADNIA_ARV","Poradnia Profilaktyczno-Lecznicza UCMMiT— ul. Powstania Styczniowego 9b, 81-519 Gdynia tel. 58 699 86 82 (pt 13:00–15:00)","Krajowe Centrum ds. AIDS / gov.pl","aktualizacja 2025-02-23","OFFICIAL","",""
"arv-0009","miejsca","PORADNIA_ARV","Poradnia Nabytych Niedoborów Odporności— ul. Śniadeckich 10 (II p.), 31-531 Kraków tel. 12 424 89 11, 12 424 89 13 (pn–pt 8:00–14:00)","Krajowe Centrum ds. AIDS / gov.pl","aktualizacja 2025-02-23","OFFICIAL","",""
"arv-0010","miejsca","PORADNIA_ARV","Poradnia Chorób Zakaźnych Dzieci — Szpital im. Żeromskiego— os. Na Skarpie 67, 31-913 Kraków tel. 12 622 94 63 (pn, wt, śr, pt 7:30–14:30; czw 7:30–18:30)","Krajowe Centrum ds. AIDS / gov.pl","aktualizacja 2025-02-23","OFFICIAL","",""
"arv-0011","miejsca","PORADNIA_ARV","Poradnia Diagnostyczno-Lecznicza— ul. Staszica 11, 20-081 Lublin tel. 81 534 22 88 (pn 10:00–14:00; śr 10:00–18:00; pt 10:00–14:00)","Krajowe Centrum ds. AIDS / gov.pl","aktualizacja 2025-02-23","OFFICIAL","",""
"arv-0012","miejsca","PORADNIA_ARV","Poradnia Chorób Zakaźnych — Centrum Medyczne w Łańcucie— ul. Paderewskiego 5, 37-100 Łańcut tel. 17 224 02 44, 17 224 01 00 (pn–pt 7:00–14:00)","Krajowe Centrum ds. AIDS / gov.pl","aktualizacja 2025-02-23","OFFICIAL","",""
"arv-0013","miejsca","PORADNIA_ARV","Poradnia Nabytych Zaburzeń Odporności— ul. Kniaziewicza 1/5, 91-347 Łódź tel. 42 251 61 24 (pn, wt 7:30–18:00; śr, pt 7:30–15:00; czw 7:30–16:00)","Krajowe Centrum ds. AIDS / gov.pl","aktualizacja 2025-02-23","OFFICIAL","",""
"arv-0014","miejsca","PORADNIA_ARV","Poradnia Chorób Zakaźnych— ul. Kośnego 53, 45-372 Opole tel. 77 443 36 98, 77 443 30 64 (pn–pt 7:00–14:30)","Krajowe Centrum ds. AIDS / gov.pl","aktualizacja 2025-02-23","OFFICIAL","",""
"arv-0015","miejsca","PORADNIA_ARV","Poradnia Chorób Zakaźnych— ul. Wł. Jagiełły 1, 14-100 Ostróda tel. 89 544 45 45 (pn–pt 11:00–15:00)","Krajowe Centrum ds. AIDS / gov.pl","aktualizacja 2025-02-23","OFFICIAL","",""
"arv-0016","miejsca","PORADNIA_ARV","Poradnia Nabytych Niedoborów Odporności— ul. Szwajcarska 3, 61-285 Poznań tel. 61 873 93 15, 451 161 558 (pn 8:00–18:30; wt 7:00–18:30; śr 8:00–18:30; czw 7:00–9:00)","Krajowe Centrum ds. AIDS / gov.pl","aktualizacja 2025-02-23","OFFICIAL","",""
"arv-0017","miejsca","PORADNIA_ARV","Poradnia Chorób Zakaźnych — Szpital Kliniczny im. K. Jonschera— ul. Szpitalna 27/33, 60-572 Poznań tel. 61 849 13 62, 61 849 13 18, 61 849 13 19 (całodobowo)","Krajowe Centrum ds. AIDS / gov.pl","aktualizacja 2025-02-23","OFFICIAL","",""
"arv-0018","miejsca","PORADNIA_ARV","Poradnia Nabytych Niedoborów Immunologicznych— ul. Arkońska 4, bud. K, wejście K1, 71-455 Szczecin tel. 91 813 93 42 (pn–pt 8:00–14:00)","Krajowe Centrum ds. AIDS / gov.pl","aktualizacja 2025-02-23","OFFICIAL","",""
"arv-0019","miejsca","PORADNIA_ARV","Poradnia Profilaktyczno-Lecznicza Niedoborów Odporności (bud. A2)— ul. Koszarowa 5, 51-149 Wrocław tel. 71 700 30 00 (pn 9:30–16:00; wt 8:30–13:30; śr 8:00–14:00; czw 8:00–11:00; pt 9:30–12:30)","Krajowe Centrum ds. AIDS / gov.pl","aktualizacja 2025-02-23","OFFICIAL","",""
"arv-0020","miejsca","PORADNIA_ARV","Klinika Pediatrii i Chorób Infekcyjnych— ul. Chałubińskiego 2-2a, 50-368 Wrocław tel. 71 770 31 55, 71 770 31 56 (całodobowo)","Krajowe Centrum ds. AIDS / gov.pl","aktualizacja 2025-02-23","OFFICIAL","",""
"arv-0021","miejsca","PORADNIA_ARV","Poradnia Profilaktyczno-Lecznicza — Ośrodek Chorób Zakaźnych i Terapii Uzależnień— ul. Wszystkich Świętych 2, 50-136 Wrocław tel. 71 356 07 80, 71 326 67 30 (pn–pt 8:00–20:00)","Krajowe Centrum ds. AIDS / gov.pl","aktualizacja 2025-02-23","OFFICIAL","",""
"arv-0022","miejsca","PORADNIA_ARV","Poradnia Niedoborów Immunologicznych— ul. Zyty 26, 65-046 Zielona Góra tel. 68 329 62 00 (pn 8:00–14:00; śr 8:00–14:00)","Krajowe Centrum ds. AIDS / gov.pl","aktualizacja 2025-02-23","OFFICIAL","",""
"pep-0001","miejsca","DYZUR_PEP","Wojewódzki Szpital Zakaźny — Izba Przyjęć— ul. Wolska 37, 01-201 Warszawa tel. 22 335 52 65, 22 335 53 30, 22 335 52 61 (całodobowo)","Krajowe Centrum ds. AIDS / gov.pl","aktualizacja 2025-02-23","OFFICIAL","",""
"pep-0002","miejsca","DYZUR_PEP","Uniwersytecki Szpital Kliniczny— ul. Żurawia 14, 15-540 Białystok tel. 85 831 65 57, 85 831 64 81, 85 831 64 77 (całodobowo (lekarz dyżurny))","Krajowe Centrum ds. AIDS / gov.pl","aktualizacja 2025-02-23","OFFICIAL","",""
"pep-0003","miejsca","DYZUR_PEP","Wojewódzki Szpital Obserwacyjno-Zakaźny im. T. Browicza— ul. Św. Floriana 12, 85-030 Bydgoszcz tel. 52 325 56 07 (całodobowo)","Krajowe Centrum ds. AIDS / gov.pl","aktualizacja 2025-02-23","OFFICIAL","",""
"pep-0004","miejsca","DYZUR_PEP","Szpital Specjalistyczny— ul. Zjednoczenia 10, 41-500 Chorzów tel. 32 346 36 42, 32 346 36 37 (całodobowo (lekarz dyżurny))","Krajowe Centrum ds. AIDS / gov.pl","aktualizacja 2025-02-23","OFFICIAL","",""
"pep-0005","miejsca","DYZUR_PEP","Szpital Morski im. PCK — Oddział Zakaźny— ul. Powstania Styczniowego 1, 81-519 Gdynia tel. 58 726 05 46 (14:00–8:00 w dni powszednie; całodobowo w soboty, niedziele i święta)","Krajowe Centrum ds. AIDS / gov.pl","aktualizacja 2025-02-23","OFFICIAL","",""
"pep-0006","miejsca","DYZUR_PEP","Szpital św. Wojciecha — Oddział Obserwacyjno-Zakaźny dla Dzieci— al. Jana Pawła II 50, 80-462 Gdańsk tel. 506 842 459 (całodobowo)","Krajowe Centrum ds. AIDS / gov.pl","aktualizacja 2025-02-23","OFFICIAL","",""
"pep-0007","miejsca","DYZUR_PEP","Szpital Uniwersytecki — Oddział Kliniczny Chorób Zakaźnych (bud. J)— ul. M. Jakubowskiego 2, 30-688 Kraków tel. 12 400 20 45 (pn–pt po 14:00 oraz soboty, niedziele i dni wolne — całodobowo)","Krajowe Centrum ds. AIDS / gov.pl","aktualizacja 2025-02-23","OFFICIAL","",""
"pep-0008","miejsca","DYZUR_PEP","Szpital im. S. Żeromskiego — Oddział Chorób Infekcyjnych i Pediatrii— os. Na Skarpie 66, 31-913 Kraków tel. 532 451 116, 12 622 93 44 (całodobowo, 7 dni)","Krajowe Centrum ds. AIDS / gov.pl","aktualizacja 2025-02-23","OFFICIAL","",""
"pep-0009","miejsca","DYZUR_PEP","Uniwersytecki Szpital Kliniczny nr 1 — Izba Przyjęć— ul. Staszica 16, 20-081 Lublin tel. 81 534 94 16 (całodobowo)","Krajowe Centrum ds. AIDS / gov.pl","aktualizacja 2025-02-23","OFFICIAL","",""
"pep-0010","miejsca","DYZUR_PEP","Wojewódzki Szpital Specjalistyczny im. Kard. Wyszyńskiego— ul. Biernackiego 9, 20-089 Lublin tel. 81 740 42 75, 81 740 25 78 (całodobowo)","Krajowe Centrum ds. AIDS / gov.pl","aktualizacja 2025-02-23","OFFICIAL","",""
"pep-0011","miejsca","DYZUR_PEP","Szpital im. Wł. Biegańskiego — izba przyjęć zakaźna— ul. Kniaziewicza 1/5, 91-347 Łódź tel. 42 251 60 80, 42 251 61 36 (całodobowo)","Krajowe Centrum ds. AIDS / gov.pl","aktualizacja 2025-02-23","OFFICIAL","",""
"pep-0012","miejsca","DYZUR_PEP","Powiatowy Zespół Opieki Zdrowotnej— ul. Wł. Jagiełły 1, 14-100 Ostróda tel. 89 646 06 22, 89 646 06 47 (całodobowo)","Krajowe Centrum ds. AIDS / gov.pl","aktualizacja 2025-02-23","OFFICIAL","",""
"pep-0013","miejsca","DYZUR_PEP","Szpital Miejski im. J. Strusia — izba przyjęć oddziału zakaźnego— ul. Szwajcarska 3, 61-285 Poznań tel. 61 873 92 95, 61 873 93 68, 61 873 93 75 (całodobowo)","Krajowe Centrum ds. AIDS / gov.pl","aktualizacja 2025-02-23","OFFICIAL","",""
"pep-0014","miejsca","DYZUR_PEP","Wojewódzki Szpital Zespolony — SOR zakaźny— ul. Arkońska 4, 71-455 Szczecin tel. 91 813 94 40 (pn–pt 14:00–8:00; dni wolne i święta całodobowo)","Krajowe Centrum ds. AIDS / gov.pl","aktualizacja 2025-02-23","OFFICIAL","",""
"pep-0015","miejsca","DYZUR_PEP","Szpital im. J. Gromkowskiego — Izba Przyjęć Zakaźna (bud. A2)— ul. Koszarowa 5, 51-149 Wrocław tel. 71 395 75 20 (całodobowo)","Krajowe Centrum ds. AIDS / gov.pl","aktualizacja 2025-02-23","OFFICIAL","",""
"pep-0016","miejsca","DYZUR_PEP","USK im. Mikulicza-Radeckiego— ul. Chałubińskiego 2-2a, 50-368 Wrocław tel. 71 770 31 55, 71 770 31 58 (8:00–20:00)","Krajowe Centrum ds. AIDS / gov.pl","aktualizacja 2025-02-23","OFFICIAL","",""
"pep-0017","miejsca","DYZUR_PEP","Szpital Uniwersytecki im. K. Marcinkowskiego — centrala— ul. Zyty 26, 65-046 Zielona Góra tel. 68 329 62 00 (całodobowo (centrala))","Krajowe Centrum ds. AIDS / gov.pl","aktualizacja 2025-02-23","OFFICIAL","",""
"pep-0018","miejsca","DYZUR_PEP","Szpital Wojewódzki — Oddział Kliniczny Chorób Zakaźnych— ul. Kośnego 53, 45-372 Opole tel. 77 443 30 44 (całodobowo (dyżurka lekarska))","Krajowe Centrum ds. AIDS / gov.pl","aktualizacja 2025-02-23","OFFICIAL","",""
"pep-0019","miejsca","DYZUR_PEP","Wojewódzki Szpital Zespolony im. L. Rydygiera — Szpital Obserwacyjno-Zakaźny— ul. Krasińskiego 4/4a, 87-100 Toruń tel. 56 679 55 47 (całodobowo (izba przyjęć))","Krajowe Centrum ds. AIDS / gov.pl","aktualizacja 2025-02-23","OFFICIAL","",""
"pep-0020","miejsca","DYZUR_PEP","Centrum Medyczne w Łańcucie— ul. Paderewskiego 5, 37-100 Łańcut tel. 17 224 02 92, 17 224 02 40 (całodobowo (dyżurka lekarska))","Krajowe Centrum ds. AIDS / gov.pl","aktualizacja 2025-02-23","OFFICIAL","",""
"pep-0021","miejsca","DYZUR_PEP","Wrocławskie Centrum Zdrowia — Poradnia Profilaktyczno-Lecznicza— ul. Wszystkich Świętych 2, 50-136 Wrocław tel. 71 356 07 80, 71 326 67 30 (BRAK dyżuru całodobowego — tylko w godzinach pracy poradni)","Krajowe Centrum ds. AIDS / gov.pl","aktualizacja 2025-02-23","OFFICIAL","",""
"pkd-0001","miejsca","PKD","PKD przy przychodni na Bema— ul. Bema 2 lok. 011 (poziom -1), 15-369 Białystok (pn, śr, pt 15:00–17:30)","Krajowe Centrum ds. AIDS","2026","OFFICIAL","",""
"pkd-0002","miejsca","PKD","PKD na terenie poradni PROMENTE— ul. Lenartowicza 33/35, gab. 17, 85-133 Bydgoszcz (pn 16:00–20:00; śr 16:00–19:00)","Krajowe Centrum ds. AIDS","2026","OFFICIAL","",""
"pkd-0003","miejsca","PKD","PKD przy Poradni Terapii Uzależnień— ul. Zjednoczenia 10, 41-500 Chorzów (pn–czw 12:00–16:00; pt 8:00–12:00)","Krajowe Centrum ds. AIDS","2026","OFFICIAL","",""
"pkd-0004","miejsca","PKD","PKD przy MONAR— ul. Ogrodowa 66, 42-202 Częstochowa tel. 34 365 48 99 (czw 17:00–20:00)","Krajowe Centrum ds. AIDS","2026","OFFICIAL","",""
"pkd-0005","miejsca","PKD","PKD Fundacji Pomorski Dom Nadziei— ul. Smoluchowskiego 18 (bud. G, wejście 2), 80-214 Gdańsk (pn, wt, czw 16:00–20:00)","Krajowe Centrum ds. AIDS","2026","OFFICIAL","",""
"pkd-0006","miejsca","PKD","PKD Fundacji Pomorski Dom Nadziei w Szpitalu Morskim— ul. Powstania Styczniowego 1, bud. 8, gab. 17, 81-519 Gdynia (śr 16:00–20:00; pt 8:00–12:00)","Krajowe Centrum ds. AIDS","2026","OFFICIAL","",""
"pkd-0007","miejsca","PKD","PKD Fundacji Trzy Końce— ul. Waltera-Jankego 14, 40-612 Katowice (punkt pobrań Diagnostyka) (pn, wt, czw 16:00–20:00)","Krajowe Centrum ds. AIDS","2026","OFFICIAL","",""
"pkd-0008","miejsca","PKD","PKD przy Punkcie Pobrań Diagnostyki (Stow. Jeden Świat)— pl. Szczepański 3, 31-011 Kraków (pn–pt 14:45–18:00)","Krajowe Centrum ds. AIDS","2026","OFFICIAL","",""
"pkd-0009","miejsca","PKD","PKD przy NZOZ Nadzieja Rodzinie— ul. Karczówkowska 36, I p., gab. 10, 25-711 Kielce tel. 503 147 303 (wt 16:00–19:00; śr 15:00–18:00; czw 8:30–11:30)","Krajowe Centrum ds. AIDS","2026","OFFICIAL","",""
"pkd-0010","miejsca","PKD","PKD przy Zespole Gruźlicy i Chorób Płuc— ul. Niepodległości 44-48, wejście D, gab. 5, 75-252 Koszalin (śr 13:00–17:00)","Krajowe Centrum ds. AIDS","2026","OFFICIAL","",""
"pkd-0011","miejsca","PKD","PKD przy Przychodni Studenckiej— ul. Spokojna 17, 20-400 Lublin tel. 512 619 714 (wt, czw 15:00–18:00)","Krajowe Centrum ds. AIDS","2026","OFFICIAL","",""
"pkd-0012","miejsca","PKD","PKD przy ŁCMS (Fundacja Lepsze Jutro)— ul. Piotrkowska 5, I p., pok. 12, 90-406 Łódź (pn, śr, pt 16:00–20:00)","Krajowe Centrum ds. AIDS","2026","OFFICIAL","",""
"pkd-0013","miejsca","PKD","PKD w przychodni NZOZ Diagmed— ul. Lwowska 20 (wejście od Wałowej 11), 33-300 Nowy Sącz (śr 16:00–19:00; czw 16:00–18:00)","Krajowe Centrum ds. AIDS","2026","OFFICIAL","",""
"pkd-0014","miejsca","PKD","PKD przy WSSE— ul. Żołnierska 16, pok. 15, parter, 10-561 Olsztyn (wt, czw 15:00–18:00)","Krajowe Centrum ds. AIDS","2026","OFFICIAL","",""
"pkd-0015","miejsca","PKD","PKD przy Szpitalu Wojewódzkim— ul. Kośnego 53 (wejście), gab. 1, 45-064 Opole (pn, śr 16:00–19:00)","Krajowe Centrum ds. AIDS","2026","OFFICIAL","",""
"pkd-0016","miejsca","PKD","PKD Wojewódzki Szpital Zespolony— ul. Medyczna 19, pok. 144, I p., 09-400 Płock (wt, czw 15:00–18:00)","Krajowe Centrum ds. AIDS","2026","OFFICIAL","",""
"pkd-0017","miejsca","PKD","PKD przy Przychodni Stonewall— ul. Półwiejska 17/17, 61-870 Poznań (pn 14:30–19:30; wt 12:00–17:00; śr 14:30–19:30; czw 16:00–19:30; pt 10:30–18:00)","Krajowe Centrum ds. AIDS","2026","OFFICIAL","",""
"pkd-0018","miejsca","PKD","PKD przy Punkcie Pobrań Diagnostyki (Stow. Jeden Świat)— ul. Grunwaldzka 34/1, 35-068 Rzeszów tel. 513 652 351 (wt 15:00–18:00; sob 9:00–12:30)","Krajowe Centrum ds. AIDS","2026","OFFICIAL","",""
"pkd-0019","miejsca","PKD","PKD Fundacji Pomorski Dom Nadziei— ul. B. Chrobrego 10, gab. 7, 81-756 Sopot (pn, śr 16:00–20:00)","Krajowe Centrum ds. AIDS","2026","OFFICIAL","",""
"pkd-0020","miejsca","PKD","PKD przy Wojewódzkim Szpitalu Zespolonym— ul. Broniewskiego 2, gab. 206/207, I p., 71-899 Szczecin tel. 91 813 93 23 (pn–czw 15:00–19:00)","Krajowe Centrum ds. AIDS","2026","OFFICIAL","",""
"pkd-0021","miejsca","PKD","PKD przy WOTUiW— ul. Szosa Bydgoska 1, 87-100 Toruń (wt 15:00–18:00; pt 14:00–18:00)","Krajowe Centrum ds. AIDS","2026","OFFICIAL","",""
"pkd-0022","miejsca","PKD","PKD przy Szpitalu im. Sokołowskiego— ul. Batorego 4, I p., gab. 3, 58-300 Wałbrzych tel. 607 634 329 (śr 14:30–18:30)","Krajowe Centrum ds. AIDS","2026","OFFICIAL","",""
"pkd-0023","miejsca","PKD","PKD przy Fundacji Federa— ul. Świętokrzyska 30, 00-116 Warszawa (pn, wt 16:00–20:00; śr 8:00–12:00 i 16:00–20:00; czw, pt 16:00–20:00; sob 10:00–14:00)","Krajowe Centrum ds. AIDS","2026","OFFICIAL","",""
"pkd-0024","miejsca","PKD","PKD przy Poradni Chmielna Express— ul. Chmielna 4, 00-020 Warszawa (pn–pt 9:30–19:30)","Krajowe Centrum ds. AIDS","2026","OFFICIAL","",""
"pkd-0025","miejsca","PKD","PKD przy Centrum Medycyny Zapobiegawczej i Rehabilitacji— ul. Nugat 3, 02-776 Warszawa (pn–pt 16:00–20:00; sob 10:00–14:00)","Krajowe Centrum ds. AIDS","2026","OFFICIAL","",""
"pkd-0026","miejsca","PKD","PKD przy Przychodni Internistycznej (Jagiellońska)— ul. Jagiellońska 34, pok. 202, 03-719 Warszawa","Krajowe Centrum ds. AIDS","2026","OFFICIAL","",""
"pkd-0027","miejsca","PKD","PKD przy Wrocławskim Centrum Zdrowia— ul. Wszystkich Świętych 2, 50-136 Wrocław (pn–pt 16:00–20:00)","Krajowe Centrum ds. AIDS","2026","OFFICIAL","",""
"pkd-0028","miejsca","PKD","PKD przy ALDEMED— ul. Niepodległości 1, I p., 65-048 Zielona Góra (wt, czw 16:00–18:00)","Krajowe Centrum ds. AIDS","2026","OFFICIAL","",""
"wsp-0001","miejsca","TELEFON","Telefon Zaufania HIV/AIDS tel. 800 888 448 (pn–pt 9:00–21:00, z wyłączeniem dni ustawowo wolnych)","Krajowe Centrum ds. AIDS / gov.pl","aktualizacja 2025-02-23","OFFICIAL","",""
"wsp-0002","miejsca","PORADNIA_ONLINE","Poradnia Internetowa HIV/AIDS","Krajowe Centrum ds. AIDS","2026","OFFICIAL","",""
"wsp-0003","miejsca","ORGANIZACJA","Buddy Polska / Lambda Warszawa","różne organizacje","2026-07","COMMUNITY","",""
"wsp-0004","miejsca","ORGANIZACJA","Społeczny Komitet ds. AIDS","różne organizacje","2026-07","COMMUNITY","",""
"wsp-0005","miejsca","ORGANIZACJA","Zjednoczenie Pozytywni w Tęczy","różne organizacje","2026-07","COMMUNITY","",""
"wsp-0006","miejsca","ORGANIZACJA","Fundacja Edukacji Społecznej (Checkpoint)","różne organizacje","2026-07","COMMUNITY","",""
"wsp-0007","miejsca","ORGANIZACJA","Stowarzyszenie „Jeden Świat""","różne organizacje","2026-07","COMMUNITY","",""
"wsp-0008","miejsca","ORGANIZACJA","Grupa Stonewall","różne organizacje","2026-07","COMMUNITY","",""
"wsp-0009","miejsca","ORGANIZACJA","Fundacja Pomorski Dom Nadziei","różne organizacje","2026-07","COMMUNITY","",""
"wsp-0010","miejsca","ORGANIZACJA","Stowarzyszenie Wolontariuszy wobec AIDS „Bądź z Nami""","różne organizacje","2026-07","COMMUNITY","",""
